year,atl_temp,g_temp
1750,15.01,8.72
1751,15.73,7.98
1752,9.22,5.78
1753,14.42,8.39
1754,14.53,8.47
1755,12.28,8.36
1756,14.63,8.85
1757,14.11,9.02
1758,12.96,6.74
1759,13.97,7.99
1760,12.59,7.19
1761,14.95,8.77
1762,14.38,8.61
1763,12.49,7.50
1764,14.42,8.40
1765,14.09,8.25
1766,14.86,8.41
1767,13.72,8.22
1768,13.26,6.78
1769,14.15,7.69
1770,14.00,7.69
1771,14.89,7.85
1772,14.65,8.19
1773,14.78,8.22
1774,14.39,8.77
1775,15.26,9.18
1776,14.12,8.30
1777,13.97,8.26
1778,11.75,8.54
1779,7.59,8.98
1780,,9.43
1781,14.54,8.10
1782,14.07,7.90
1783,13.82,7.68
1784,13.79,7.86
1785,13.58,7.36
1786,14.13,8.26
1787,14.16,8.03
1788,14.65,8.45
1789,14.40,8.33
1790,14.30,7.98
1791,14.51,8.23
1792,14.01,8.09
1793,14.55,8.23
1794,14.66,8.53
1795,14.40,8.35
1796,14.19,8.27
1797,14.15,8.51
1798,14.88,8.67
1799,14.56,8.51
1800,14.43,8.48
1801,14.78,8.59
1802,15.00,8.58
1803,14.87,8.50
1804,14.82,8.84
1805,14.99,8.56
1806,14.49,8.43
1807,14.27,8.28
1808,14.21,7.63
1809,13.41,7.08
1810,13.57,6.92
1811,13.71,6.86
1812,12.90,7.05
1813,13.92,7.74
1814,13.69,7.59
1815,13.32,7.24
1816,12.89,6.94
1817,12.97,6.98
1818,13.60,7.83
1819,13.65,7.37
1820,13.69,7.62
1821,13.52,8.09
1822,14.62,8.19
1823,13.95,7.72
1824,14.59,8.55
1825,15.05,8.39
1826,14.71,8.36
1827,15.21,8.81
1828,16.28,8.17
1829,14.45,7.94
1830,15.90,8.52
1831,13.84,7.64
1832,14.72,7.45
1833,14.80,8.01
1834,15.40,8.15
1835,14.34,7.39
1836,13.77,7.70
1837,14.54,7.38
1838,14.04,7.51
1839,14.62,7.63
1840,14.82,7.80
1841,14.43,7.69
1842,14.75,8.02
1843,13.74,8.17
1844,14.69,7.65
1845,14.38,7.85
1846,14.71,8.55
1847,14.03,8.09
1848,14.36,7.98
1849,14.35,7.98
1850,14.57,7.90
1851,14.46,8.18
1852,14.49,8.10
1853,14.57,8.04
1854,15.19,8.21
1855,14.58,8.11
1856,13.35,8.00
1857,13.35,7.76
1858,14.44,8.10
1859,14.31,8.25
1860,14.65,7.96
1861,14.42,7.85
1862,14.61,7.56
1863,13.93,8.11
1864,13.73,7.98
1865,14.61,8.18
1866,14.13,8.29
1867,14.31,8.44
1868,13.68,8.25
1869,13.92,8.43
1870,14.28,8.20
1871,14.88,8.12
1872,13.36,8.19
1873,13.83,8.35
1874,14.83,8.43
1875,13.75,7.86
1876,13.82,8.08
1877,14.13,8.54
1878,14.66,8.83
1879,14.71,8.17
1880,14.75,8.12
1881,15.05,8.27
1882,14.87,8.13
1883,14.85,7.98
1884,14.32,7.77
1885,13.14,7.92
1886,13.45,7.95
1887,14.29,7.91
1888,14.29,8.09
1889,14.20,8.32
1890,15.07,7.97
1891,14.05,8.02
1892,13.71,8.07
1893,14.14,8.06
1894,14.58,8.16
1895,13.43,8.15
1896,14.85,8.21
1897,14.51,8.29
1898,14.29,8.18
1899,14.22,8.40
1900,14.46,8.50
1901,13.23,8.54
1902,14.22,8.30
1903,13.81,8.22
1904,13.61,8.09
1905,14.08,8.23
1906,14.35,8.38
1907,14.44,7.95
1908,14.60,8.19
1909,14.43,8.18
1910,13.96,8.22
1911,15.47,8.18
1912,13.92,8.17
1913,14.74,8.30
1914,14.27,8.59
1915,14.26,8.59
1916,14.51,8.23
1917,13.41,8.02
1918,14.55,8.13
1919,15.04,8.38
1920,13.80,8.36
1921,15.64,8.57
1922,15.17,8.41
1923,14.66,8.42
1924,13.69,8.51
1925,15.34,8.53
1926,14.38,8.73
1927,15.49,8.52
1928,14.13,8.63
1929,14.46,8.24
1930,14.47,8.63
1931,15.15,8.72
1932,15.07,8.71
1933,15.39,8.34
1934,14.62,8.63
1935,14.77,8.52
1936,14.93,8.55
1937,14.54,8.70
1938,15.27,8.86
1939,15.22,8.76
1940,13.66,8.76
1941,15.03,8.77
1942,14.49,8.73
1943,14.60,8.76
1944,14.78,8.85
1945,14.98,8.58
1946,15.32,8.68
1947,14.34,8.80
1948,14.95,8.75
1949,15.28,8.59
1950,14.74,8.37
1951,14.87,8.63
1952,15.16,8.64
1953,15.18,8.87
1954,15.18,8.56
1955,14.84,8.63
1956,15.14,8.28
1957,15.25,8.73
1958,13.92,8.77
1959,14.94,8.73
1960,13.94,8.58
1961,14.25,8.80
1962,14.58,8.75
1963,13.87,8.86
1964,14.37,8.41
1965,14.77,8.53
1966,13.96,8.60
1967,14.18,8.70
1968,13.76,8.52
1969,13.97,8.60
1970,14.70,8.70
1971,14.77,8.60
1972,14.60,8.50
1973,14.84,8.95
1974,14.98,8.47
1975,14.98,8.74
1976,13.67,8.35
1977,14.53,8.85
1978,14.21,8.69
1979,14.14,8.73
1980,14.56,8.98
1981,14.15,9.17
1982,14.85,8.64
1983,14.13,9.03
1984,14.71,8.69
1985,14.86,8.66
1986,15.52,8.83
1987,14.88,8.99
1988,14.23,9.20
1989,14.59,8.92
1990,16.00,9.23
1991,15.46,9.18
1992,14.47,8.84
1993,14.78,8.87
1994,14.88,9.04
1995,14.74,9.35
1996,14.24,9.04
1997,14.51,9.20
1998,16.14,9.52
1999,15.52,9.29
2000,14.95,9.20
2001,15.21,9.41
2002,15.42,9.57
2003,14.85,9.53
2004,15.29,9.32
2005,15.23,9.70
2006,15.58,9.53
2007,15.84,9.73
2008,14.95,9.43
2009,14.82,9.51
2010,14.86,9.70
2011,15.73,9.52
2012,16.17,9.51
2013,16.14,9.61
2014,,9.57
2015,,9.83
